"layer","filename","fld_value","targets","name","units","description","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","year_min","year_max","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique","data_na"
"le_job_growth","le_job_growth.csv","coast_job_growth","LE","job growth wate","rate","growth rate of jobs compared to the average of the previous 3 years","rgn_id",,"x","year","coast_job_growth",,TRUE,2005,2016,-0.0751041877402386,0.137352775261115,FALSE,"rgn_name,us_job_growth",,,8,FALSE
"lsp_protected_land","lsp_protected_land.csv","prop_area","LSP","Inland coastal protected areas","proportion","Proportion of 1km inland area protected","rgn_id",,"x","year","prop_area",,TRUE,2005,2017,0.13,0.28,TRUE,,,,8,FALSE
"lsp_protected_marine","lsp_protected_marine.csv","prop_area","LSP","Offshore coastal protected areas","proportion","Proportion of state waters protected","rgn_id",,"x","year","prop_area",,TRUE,2005,2017,0,0.96,TRUE,,,,8,FALSE
"mar_production","mar_production.csv","production","MAR","Tonnes of production","tonnes","Tonnes of production with a 3 yr rolling average","rgn_id",,"species","year","production",,TRUE,2000,2017,0,44685963.1553636,FALSE,"yr_num,last_years_prod",,,8,FALSE
"mar_sust_scores","mar_sust_scores.csv","rescaled","MAR","Seafood Watch sustainability scores","scaled 0 - 1","Seafood watch sustainability scores",,,"species",,"rescaled",,TRUE,,,0.482,0.886,TRUE,"sustainabilityscore",,,8,FALSE
"prs_fishing","prs_fishing.csv","pressure_score","RAO pressureFIS pressureICO pressureLSP pressureSPP pressureTR pressure","Fishing pressure","scaled 0-1","Pressure from fishing biomass removal","rgn_id",,"rgn_name","year","pressure_score",,TRUE,2000,2015,0.000453880897971899,0.825232822687254,TRUE,,,,8,FALSE
"prs_pathogens","prs_pathogens.csv","perc_closed","RAO pressureCW pressureLSP pressureTR pressure","Pathogen pollution","scaled 0-1","Percent of year with beaches closed due to presence of pathogens","rgn_id",,"x","year","perc_closed",,TRUE,2005,2017,0.01,0.362,TRUE,"rgn_name",,,8,FALSE
"hd_subtidal","hd_subtidal.csv","score","RAO pressureFIS pressureHAB pressureICO pressureLSP pressureMAR pressureSPP pressure","Fishing Effects","scaled 0-1","Impacts of fishing to seabed habitats","rgn_id",,"habitat","year","score",,TRUE,2004,2017,0.0229465919115572,0.623827378111718,TRUE,"rgn_name",,,8,FALSE
"prs_social","prs_social.csv","pressure_score","RAO pressureHS pressureCW pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureSPP pressureTR pressure","Socal pressure","scaled 0 - 1","Social pressure derived from NOAAs social vulnerability index, Opportunity Index, State Competiveness Report, and the LCV Scorecards","rgn_id",,"x","year","pressure_score",,TRUE,2005,2017,0.260346322323386,0.595767425551594,TRUE,"x1,rgn_name",,,8,FALSE
"prs_sqi","prs_sqi.csv","score","RAO pressureHS pressureCW pressureFIS pressureHAB pressureICO pressureMAR pressureSPP pressure","Sediment quality index","scaled 0-1","Water quality score","rgn_id",,"rgn_name","year","score",,TRUE,2006,2010,0.0133798227782799,0.57797611938722,TRUE,,,,8,FALSE
"prs_trash","prs_trash.csv","score","RAO pressureCW pressureICO pressureLSP pressureSPP pressureTR pressure","Beach trash","scaled 0-1","Trash picked up during coastal cleanup day","rgn_id",,"x","year","score",,TRUE,2006,2017,0.0202080850027468,0.274715430294641,TRUE,,,,8,FALSE
"prs_wqi","prs_wqi.csv","score","RAO pressureHS pressureCW pressureFIS pressureHAB pressureICO pressureLSP pressureMAR pressureSPP pressureTR pressure","Water quality index","scaled 0-1","Water quality score","rgn_id",,"rgn_name","year","score",,TRUE,2006,2010,0.0108392512029521,0.438572332574216,TRUE,,,,8,FALSE
"prs_aqua_hab","prs_aqua_hab.csv","score","RAO pressureHS pressureFIS pressureHAB pressureICO pressureLSP pressureMAR pressureSPP pressureSPFIS pressure","Habitat destruction","scaled 0 - 1","Habitat destruction and pollution from aquaculture","rgn_id",,"x","year","score",,TRUE,2005,2017,0,0.500033812297351,TRUE,"rgn_name",,,8,FALSE
"prs_disease","prs_disease.csv","score","RAO pressureFIS pressureICO pressureMAR pressureSPP pressureSPFIS pressure","Mariculture disease","scaled 0 - 1","Introduction of disease from farmed species","rgn_id",,"x","year","score",,TRUE,2005,2017,0,0.499994170729365,TRUE,"rgn_name",,,8,FALSE
"rao_econ_access","rao_econ_access.csv","score","RAO","Gas prices to wage ratio","scaled 0 - 1","Comparison of gas prices to mean wages","rgn_id",,,"year","score",,TRUE,2005,2017,0.742635046121553,1,TRUE,,,,8,FALSE
"rao_fssi","rao_fssi.csv","score","RAO","Fish stock sustainability","scaled 0-1","NOAA's fish stock sustainability index","rgn_id",,,"year","score",,TRUE,2005,2017,0.58,0.78,TRUE,,,,8,FALSE
"res_alien","res_alien.csv","score","SPP resilience","Species pollution resilience","scaled 0-1","Existence, implementation/enforcemnet, and compliance/effectiveness of regulations to counteract species pollution","rgn_id",,"x","year","score",,TRUE,2005,2017,0.333333333333333,1,TRUE,"rgn_name",,,8,FALSE
"res_climate_change","res_climate_change.csv","score","RAO resilienceHS resilienceCW resilienceECO resilienceFIS resilienceHAB resilienceICO resilienceLIV resilienceLSP resilienceMAR resilienceSPP resilienceTR resilience","Climate change resilience","scaled 0-1","Existence, implementation/enforcemnet, and compliance/effectiveness of regulations to counteract climate change","rgn_id",,"x","year","score",,TRUE,2005,2017,0.560177535240876,0.81463768115942,TRUE,"rgn_name",,,8,FALSE
"res_eco_integrity","res_eco_integrity.csv","resilience_score","RAO resilienceHS resilienceFIS resilienceHAB resilienceICO resilienceLSP resilienceMAR resilienceSPP resilience","Species status","scaled 0-1","Species status as calculated in the SPP goal but used as a measure of ecological resilience","rgn_id",,,"year","resilience_score",,TRUE,2017,2017,0.736658354114713,0.906327462491846,TRUE,,,5187,8,FALSE
"res_fishing","res_fishing.csv","score","RAO resilienceFIS resilienceICO resilienceLSP resilienceSPP resilienceTR resilience","Fishing pressure resilience","scaled 0-1","Existence, implementation/enforcemnet, and compliance/effectiveness of regulations to counteract fishing pressure","rgn_id",,"x","year","score",,TRUE,2005,2017,0.593522372068635,0.794186265032408,TRUE,"rgn_name",,,8,FALSE
"res_hab_destruction","res_hab_destruction.csv","score","RAO resilienceHS resilienceFIS resilienceHAB resilienceLSP resilienceMAR resilienceSPP resilience","Habitat destruction resilience","scaled 0-1","Existence, implementation/enforcemnet, and compliance/effectiveness of regulations to counteract habitat destruction","rgn_id",,"x","year","score",,TRUE,2015,2017,0.476825463489672,0.897701291809821,TRUE,"rgn_name",,,8,FALSE
"res_social","res_social.csv","score","RAO resilienceHS resilienceCW resilienceECO resilienceFIS resilienceHAB resilienceICO resilienceLIV resilienceLSP resilienceMAR resilienceSPP resilienceTR resilience","Social resilience","scaled 0-1","Social resilience derived from NOAAs social vulnerability index, Opportunity Index, State Competiveness Report, and the LCV Scorecards","rgn_id",,"x","year","score",,TRUE,2005,2017,0.404232574448406,0.739653677676614,TRUE,"rgn_name",,,8,FALSE
"res_water_pollution","res_water_pollution.csv","score","RAO resilienceHS resilienceCW resilienceFIS resilienceHAB resilienceICO resilienceLSP resilienceMAR resilienceSPP resilienceTR resilience","Water pollution resilience","scaled 0-1","Existence, implementation/enforcemnet, and compliance/effectiveness of regulations to counteract water pollution","rgn_id",,"x","year","score",,TRUE,2005,2017,0.644906079392986,0.860148679145095,TRUE,"rgn_name",,,8,FALSE
"rgn_area","rgn_area.csv","area_km2"," spatial","Region areas based on EEZ boundaries","km2","Area of Ocean Health Index regions modified from exclusive economic zones","rgn_id",,,,"area_km2",,TRUE,,,8591236,8591236,FALSE,,,,8,FALSE
"rgn_global","rgn_global.csv","label"," spatial","OHI regions","label","Subset of regions that are not deleted or disputed","rgn_id",,,,,"label",TRUE,,,,,FALSE,,,,8,
"rgn_labels","rgn_labels.csv","label"," spatial","Regions","label","Regions by type (eez, subocean, unclaimed)","rgn_id",,"type",,,"label",TRUE,,,,,FALSE,,,,8,
"sp_alien","sp_alien.csv","score","RAO pressureHS pressureFIS pressureHAB pressureICO pressureLSP pressureMAR pressureSPP pressure","Nonindigenous species","scaled 0-1","Measure of harmful invasive species","rgn_id",,"x","year","score",,TRUE,2005,2017,0,0.711864406779661,TRUE,"rgn_name",,,8,FALSE
"sp_genetic","sp_genetic.csv","score","RAO pressureFIS pressureICO pressureSPP pressure","Genetic escapes","scaled 0-1","Introduced mariculture species as a proxy for genetic escapes","rgn_id",,"x","year","score",,TRUE,2005,2017,0,0.5000318105249,TRUE,"rgn_name",,,8,FALSE
"spp_rgns","spp_rgns.csv","rgn_id","SPP","Region id where species exist","region","region id where species is found","rgn_id",,"common","year","rgn_id",,TRUE,2017,2017,1,12,FALSE,"sciname",,430,8,FALSE
"spp_status_scores","spp_status_scores.csv","score","SPP","Species conservation status score","scaled 0-1","Species conservation status score based on IUCN and NatureServe","rgn_id",,"x","year","score",,TRUE,2017,2017,0,1,TRUE,"common,sciname,source,iucn_sid,status,status_scale,rgn_name,state_name",,,8,FALSE
"spp_trend","spp_trend.csv","score","SPP","species trends","0.25 to -0.25","species population trends",,,"sciname","year","score",,TRUE,2017,2017,-0.025,0.025,FALSE,,,,8,FALSE
"tr_beach_closures","tr_beach_closures.csv","perc_open","TR","Proportion of swim season beaches are open on average","proportion","Proportion of swim season beaches are open on average","rgn_id",,"rgn_name","year","perc_open",,TRUE,2005,2017,0.638,0.99,TRUE,,,,8,FALSE
"tr_job_growth","tr_job_growth.csv","tr_job_growth","TR","job growth rate","rate","Job growth rate in T&R sector compared to avg of previous 3 years","rgn_id",,"x","year","tr_job_growth",,TRUE,2005,2016,-0.0638972809667674,0.129164293849658,FALSE,"rgn_name",,,8,FALSE
"tr_rao_coastal_access","tr_rao_coastal_access.csv","score","TRRAO","proportion of coast with an access point","score 0 - 1","proportion of coast with an access point","rgn_id",,"rgn_name","year","score",,TRUE,2017,2017,0.39,0.9,TRUE,,,,8,FALSE
"sop_comm_engagement","sop_comm_engagement.csv","score","SOP","Commercial fishing engagement","score 0 - 1","","rgn_id",,"layer","year","score",,TRUE,2009,2016,0.55,0.91,TRUE,"mean_score,rgn_name,ref",,,8,FALSE
"sop_rec_reliance","sop_rec_reliance.csv","score","SOP","Recreational fishing reliance","score 0 - 1","","rgn_id",,"layer","year","score",,TRUE,2009,2016,0.59,0.91,TRUE,"mean_score,rgn_name,ref",,,8,FALSE
"prs_hardening","prs_hardening.csv","percent_hard","RAO pressureHS pressureHAB pressureICO pressureLSP pressureSPP pressure","Coastal hardening","score 0 - 1","Proportion of coast that has been armored","rgn_id",,"x","year","percent_hard",,TRUE,2017,2017,0.0403069150158601,0.333254865020066,TRUE,"rgn_name",,,8,FALSE
