rgn_id,year,score,habitat,rgn_name
8,2007,0.6318596294167105,seabed,Massachusetts-South
9,2007,0.5786897710748224,seabed,New Hampshire
10,2007,0.5713887397749924,seabed,New York
11,2007,0.38143581661460246,seabed,Rhode Island
1,2008,0.9653498833995182,seabed,Offshore
2,2008,0.678487441241579,seabed,Georges Bank
3,2008,0.6562195673953768,seabed,Gulf of Maine
4,2008,0.6460061123683664,seabed,Mid-Atlantic Bight
5,2008,0.8543112979030593,seabed,Connecticut
6,2008,0.8187298236389425,seabed,Maine
7,2008,0.6001110761949245,seabed,Massachusetts-North
8,2008,0.6410011867432404,seabed,Massachusetts-South
9,2008,0.5862298712717089,seabed,New Hampshire
10,2008,0.6037878877522906,seabed,New York
11,2008,0.40398965394835695,seabed,Rhode Island
1,2009,0.9687664566466427,seabed,Offshore
2,2009,0.6969611460339051,seabed,Georges Bank
3,2009,0.6684042209830231,seabed,Gulf of Maine
4,2009,0.6638854319531875,seabed,Mid-Atlantic Bight
5,2009,0.8769662373768904,seabed,Connecticut
6,2009,0.8347105615356802,seabed,Maine
7,2009,0.6187757455794662,seabed,Massachusetts-North
8,2009,0.6404972890596599,seabed,Massachusetts-South
9,2009,0.6162050845070258,seabed,New Hampshire
10,2009,0.6531945035594967,seabed,New York
11,2009,0.4399781287920729,seabed,Rhode Island
1,2010,0.9710490640345835,seabed,Offshore
2,2010,0.711626099332263,seabed,Georges Bank
3,2010,0.6770475089943292,seabed,Gulf of Maine
4,2010,0.6792319558523074,seabed,Mid-Atlantic Bight
5,2010,0.8940087617291111,seabed,Connecticut
6,2010,0.8202055198937239,seabed,Maine
7,2010,0.6313165486854089,seabed,Massachusetts-North
8,2010,0.6460631540700715,seabed,Massachusetts-South
9,2010,0.6104125781765197,seabed,New Hampshire
10,2010,0.6629673153857902,seabed,New York
11,2010,0.43911237926032154,seabed,Rhode Island
1,2011,0.9725170339661022,seabed,Offshore
2,2011,0.7229055052472609,seabed,Georges Bank
3,2011,0.6921108110125773,seabed,Gulf of Maine
4,2011,0.6778906231896142,seabed,Mid-Atlantic Bight
5,2011,0.909251413016562,seabed,Connecticut
6,2011,0.8160313369535142,seabed,Maine
7,2011,0.6528439286223899,seabed,Massachusetts-North
8,2011,0.6545153142214937,seabed,Massachusetts-South
9,2011,0.5573430880487964,seabed,New Hampshire
10,2011,0.669156276459663,seabed,New York
11,2011,0.43386950601904684,seabed,Rhode Island
1,2012,0.9744955741086632,seabed,Offshore
2,2012,0.7235227776626948,seabed,Georges Bank
3,2012,0.6839088826377266,seabed,Gulf of Maine
4,2012,0.6599007959592671,seabed,Mid-Atlantic Bight
5,2012,0.9162695952478301,seabed,Connecticut
6,2012,0.8338046384170494,seabed,Maine
7,2012,0.6492589343155625,seabed,Massachusetts-North
8,2012,0.6293830082264475,seabed,Massachusetts-South
9,2012,0.555314275389277,seabed,New Hampshire
10,2012,0.6765786079814882,seabed,New York
11,2012,0.4201002175825421,seabed,Rhode Island
1,2013,0.9758037365594867,seabed,Offshore
2,2013,0.7233446394340015,seabed,Georges Bank
3,2013,0.6843949376145299,seabed,Gulf of Maine
4,2013,0.6539511660654057,seabed,Mid-Atlantic Bight
5,2013,0.9200917826791312,seabed,Connecticut
6,2013,0.8596989457156846,seabed,Maine
7,2013,0.6664976099031827,seabed,Massachusetts-North
8,2013,0.6356153195630244,seabed,Massachusetts-South
9,2013,0.5984351217080761,seabed,New Hampshire
10,2013,0.6835198014395394,seabed,New York
11,2013,0.4128005009601108,seabed,Rhode Island
1,2014,0.9760044214711376,seabed,Offshore
2,2014,0.7320252040237905,seabed,Georges Bank
3,2014,0.6888270826525547,seabed,Gulf of Maine
4,2014,0.6440931826525447,seabed,Mid-Atlantic Bight
5,2014,0.9243506480026422,seabed,Connecticut
6,2014,0.8848711914277206,seabed,Maine
7,2014,0.7058257466482527,seabed,Massachusetts-North
8,2014,0.6118496511984809,seabed,Massachusetts-South
9,2014,0.6635096688343827,seabed,New Hampshire
10,2014,0.6949452871348412,seabed,New York
11,2014,0.42014660070555987,seabed,Rhode Island
1,2015,0.9764785784237623,seabed,Offshore
2,2015,0.7364179663005498,seabed,Georges Bank
3,2015,0.6712583657766975,seabed,Gulf of Maine
4,2015,0.6478807580455754,seabed,Mid-Atlantic Bight
5,2015,0.9288006413610616,seabed,Connecticut
6,2015,0.9040442117147912,seabed,Maine
7,2015,0.7294837182540372,seabed,Massachusetts-North
8,2015,0.5932095307697247,seabed,Massachusetts-South
9,2015,0.7142905970025994,seabed,New Hampshire
10,2015,0.7140808415792944,seabed,New York
11,2015,0.4393422959891824,seabed,Rhode Island
1,2016,0.9764884416681208,seabed,Offshore
2,2016,0.7506068353281203,seabed,Georges Bank
3,2016,0.6639072312573886,seabed,Gulf of Maine
4,2016,0.6596936406022322,seabed,Mid-Atlantic Bight
5,2016,0.931114155538909,seabed,Connecticut
6,2016,0.9159219679810866,seabed,Maine
7,2016,0.7413709246102373,seabed,Massachusetts-North
8,2016,0.6013634041132102,seabed,Massachusetts-South
9,2016,0.7451686705540679,seabed,New Hampshire
10,2016,0.7240931076720636,seabed,New York
11,2016,0.44721378686095115,seabed,Rhode Island
1,2017,0.9770534080884428,seabed,Offshore
2,2017,0.771739897482275,seabed,Georges Bank
3,2017,0.6546950674452394,seabed,Gulf of Maine
4,2017,0.6675359549404438,seabed,Mid-Atlantic Bight
5,2017,0.9342453587436507,seabed,Connecticut
6,2017,0.9200157465302432,seabed,Maine
7,2017,0.7578150840575585,seabed,Massachusetts-North
8,2017,0.6184184320194711,seabed,Massachusetts-South
9,2017,0.7572645533767492,seabed,New Hampshire
10,2017,0.7318684754297315,seabed,New York
11,2017,0.44872828765208195,seabed,Rhode Island
12,2004,0.7556923670487756,seabed,Northeast
12,2005,0.7596037765570974,seabed,Northeast
12,2006,0.7614490629096922,seabed,Northeast
12,2007,0.7672835928986987,seabed,Northeast
12,2008,0.778567776451536,seabed,Northeast
12,2009,0.7902387750939992,seabed,Northeast
12,2010,0.7979869108151478,seabed,Northeast
12,2011,0.8039578796384821,seabed,Northeast
12,2012,0.8006001025480545,seabed,Northeast
12,2013,0.8013244437275122,seabed,Northeast
12,2014,0.8035952836941289,seabed,Northeast
12,2015,0.8024237098349789,seabed,Northeast
12,2016,0.8059595989148549,seabed,Northeast
12,2017,0.8098226184322648,seabed,Northeast
