"rgn_id","rgn_name","year","pressure_score"
11,"Rhode Island",1990,0.115608944392141
12,"Northeast",1990,0.164681609218056
1,"Offshore",1991,0.188084174205451
2,"Georges Bank",1991,0.164373808313215
3,"Gulf of Maine",1991,0.0952526540103643
4,"Mid-Atlantic Bight",1991,0.165617267206396
5,"Connecticut",1991,0.165223887163501
6,"Maine",1991,0.10431630117665
7,"Massachusetts-North",1991,0.129999759500933
8,"Massachusetts-South",1991,0.156895615636182
9,"New Hampshire",1991,0.111546983500273
10,"New York",1991,0.177481263933447
11,"Rhode Island",1991,0.172998330002488
12,"Northeast",1991,0.156904222334296
1,"Offshore",1992,0.149875501571389
2,"Georges Bank",1992,0.162760406201643
3,"Gulf of Maine",1992,0.0819856120117496
4,"Mid-Atlantic Bight",1992,0.152335415895588
5,"Connecticut",1992,0.150255763482405
6,"Maine",1992,0.0941942953913078
7,"Massachusetts-North",1992,0.11375917097331
8,"Massachusetts-South",1992,0.159772397823821
9,"New Hampshire",1992,0.0944074171809793
10,"New York",1992,0.160223263666601
11,"Rhode Island",1992,0.165096863754402
12,"Northeast",1992,0.136412261553461
1,"Offshore",1993,0.159259670664018
2,"Georges Bank",1993,0.162606657659817
3,"Gulf of Maine",1993,0.0792274749133054
4,"Mid-Atlantic Bight",1993,0.15104343239612
5,"Connecticut",1993,0.148258522243885
6,"Maine",1993,0.0846391246994435
7,"Massachusetts-North",1993,0.108320450191355
8,"Massachusetts-South",1993,0.160748648378153
9,"New Hampshire",1993,0.0774119141880486
10,"New York",1993,0.161798511295169
11,"Rhode Island",1993,0.158010795357551
12,"Northeast",1993,0.138832700800882
1,"Offshore",1994,0.180921920798598
2,"Georges Bank",1994,0.226013895635195
3,"Gulf of Maine",1994,0.120562583912003
4,"Mid-Atlantic Bight",1994,0.174982439614971
5,"Connecticut",1994,0.143009936544626
6,"Maine",1994,0.12793962040421
7,"Massachusetts-North",1994,0.148789794558073
8,"Massachusetts-South",1994,0.197427248256597
9,"New Hampshire",1994,0.125224476287748
10,"New York",1994,0.173029237482503
11,"Rhode Island",1994,0.18788548805726
12,"Northeast",1994,0.173251317393387
1,"Offshore",1995,0.215297980476478
2,"Georges Bank",1995,0.23057623850144
3,"Gulf of Maine",1995,0.136753911950848
4,"Mid-Atlantic Bight",1995,0.206931097464869
5,"Connecticut",1995,0.17983501925987
6,"Maine",1995,0.178101437917126
7,"Massachusetts-North",1995,0.178684650879076
8,"Massachusetts-South",1995,0.213740094437474
9,"New Hampshire",1995,0.152588410721569
10,"New York",1995,0.218811055505685
11,"Rhode Island",1995,0.217915105473055
12,"Northeast",1995,0.198325559980464
1,"Offshore",1996,0.193166620248348
2,"Georges Bank",1996,0.19424248112505
3,"Gulf of Maine",1996,0.129613488134705
4,"Mid-Atlantic Bight",1996,0.161622634576445
5,"Connecticut",1996,0.14262466500552
6,"Maine",1996,0.174317002793895
7,"Massachusetts-North",1996,0.149487040737909
8,"Massachusetts-South",1996,0.169974248314938
9,"New Hampshire",1996,0.144829808603554
10,"New York",1996,0.163434248049677
11,"Rhode Island",1996,0.160443368854036
12,"Northeast",1996,0.172751742434127
1,"Offshore",1997,0.201077754344279
2,"Georges Bank",1997,0.193119542303372
3,"Gulf of Maine",1997,0.129318301491518
4,"Mid-Atlantic Bight",1997,0.178171355328213
5,"Connecticut",1997,0.147270185979478
6,"Maine",1997,0.173902101813328
7,"Massachusetts-North",1997,0.154666809601379
8,"Massachusetts-South",1997,0.16849332980733
9,"New Hampshire",1997,0.153867358697599
10,"New York",1997,0.179253766450033
11,"Rhode Island",1997,0.179050815718092
12,"Northeast",1997,0.178406516537814
1,"Offshore",1998,0.198368577260735
2,"Georges Bank",1998,0.205855546023902
3,"Gulf of Maine",1998,0.156469113635049
4,"Mid-Atlantic Bight",1998,0.193019442078849
5,"Connecticut",1998,0.20520053924518
6,"Maine",1998,0.200309648825001
7,"Massachusetts-North",1998,0.183007222840022
8,"Massachusetts-South",1998,0.204344807187157
9,"New Hampshire",1998,0.18263002531603
10,"New York",1998,0.226536128340539
11,"Rhode Island",1998,0.21692628945928
12,"Northeast",1998,0.190367445385732
1,"Offshore",1999,0.207674952785334
2,"Georges Bank",1999,0.254772723567492
3,"Gulf of Maine",1999,0.209293304350973
4,"Mid-Atlantic Bight",1999,0.244960287100594
5,"Connecticut",1999,0.250740566258461
6,"Maine",1999,0.210728368672354
7,"Massachusetts-North",1999,0.182754131004981
8,"Massachusetts-South",1999,0.22756009561931
9,"New Hampshire",1999,0.175531933031809
10,"New York",1999,0.267113769754657
11,"Rhode Island",1999,0.2966778531807
12,"Northeast",1999,0.223660260750877
1,"Offshore",2000,0.191433073048063
2,"Georges Bank",2000,0.258073549751532
3,"Gulf of Maine",2000,0.257185186630959
4,"Mid-Atlantic Bight",2000,0.234440576360037
5,"Connecticut",2000,0.20149316974601
6,"Maine",2000,0.17854423153346
7,"Massachusetts-North",2000,0.158733620020773
8,"Massachusetts-South",2000,0.210068297923392
9,"New Hampshire",2000,0.164950252044946
10,"New York",2000,0.214427363070127
11,"Rhode Island",2000,0.255904003985505
12,"Northeast",2000,0.224228026281913
1,"Offshore",2001,0.250981466221567
2,"Georges Bank",2001,0.316100147235111
3,"Gulf of Maine",2001,0.278604853461156
4,"Mid-Atlantic Bight",2001,0.29008683431264
5,"Connecticut",2001,0.237154884942505
6,"Maine",2001,0.202373938999843
7,"Massachusetts-North",2001,0.197404291903823
8,"Massachusetts-South",2001,0.265586762149734
9,"New Hampshire",2001,0.200942152933207
10,"New York",2001,0.260395464860595
11,"Rhode Island",2001,0.307034774789456
12,"Northeast",2001,0.27311986431324
1,"Offshore",2002,0.267467250534885
2,"Georges Bank",2002,0.416102801011071
3,"Gulf of Maine",2002,0.361704013624791
4,"Mid-Atlantic Bight",2002,0.403689985925373
5,"Connecticut",2002,0.326549549619202
6,"Maine",2002,0.27100765677882
7,"Massachusetts-North",2002,0.283486968456163
8,"Massachusetts-South",2002,0.357239981181529
9,"New Hampshire",2002,0.292373932102758
10,"New York",2002,0.351628957611004
11,"Rhode Island",2002,0.382577004633364
12,"Northeast",2002,0.338516384084378
1,"Offshore",2003,0.266505401332281
2,"Georges Bank",2003,0.419460777765477
3,"Gulf of Maine",2003,0.353347313221585
4,"Mid-Atlantic Bight",2003,0.395526944535302
5,"Connecticut",2003,0.25916774820371
6,"Maine",2003,0.261266091709914
7,"Massachusetts-North",2003,0.276883645357982
8,"Massachusetts-South",2003,0.324304319117616
9,"New Hampshire",2003,0.311859291486358
10,"New York",2003,0.29996454904576
11,"Rhode Island",2003,0.358958919580889
12,"Northeast",2003,0.333803389121507
1,"Offshore",2004,0.222295857512961
2,"Georges Bank",2004,0.309215880638297
3,"Gulf of Maine",2004,0.253594999894989
4,"Mid-Atlantic Bight",2004,0.306598098913877
5,"Connecticut",2004,0.203529972845111
6,"Maine",2004,0.208726481526864
7,"Massachusetts-North",2004,0.235504338772163
8,"Massachusetts-South",2004,0.253057898479054
9,"New Hampshire",2004,0.27640101537527
10,"New York",2004,0.248733298834253
11,"Rhode Island",2004,0.254860846701641
12,"Northeast",2004,0.25811383339671
1,"Offshore",2005,0.256231718098577
2,"Georges Bank",2005,0.282785482100692
3,"Gulf of Maine",2005,0.194060039164488
4,"Mid-Atlantic Bight",2005,0.302968452151429
5,"Connecticut",2005,0.242512749943168
6,"Maine",2005,0.17993938894633
7,"Massachusetts-North",2005,0.243568327916787
8,"Massachusetts-South",2005,0.258537709043702
9,"New Hampshire",2005,0.295454068653537
10,"New York",2005,0.2745842694924
11,"Rhode Island",2005,0.27373563475316
12,"Northeast",2005,0.253017046801399
1,"Offshore",2006,0.285558422010144
2,"Georges Bank",2006,0.283373734685831
3,"Gulf of Maine",2006,0.242733527627426
4,"Mid-Atlantic Bight",2006,0.320779597858214
5,"Connecticut",2006,0.263073774392267
6,"Maine",2006,0.247262489939692
7,"Massachusetts-North",2006,0.2626950253901
8,"Massachusetts-South",2006,0.260468709005126
9,"New Hampshire",2006,0.323560422663106
10,"New York",2006,0.298249497347613
11,"Rhode Island",2006,0.310759602072096
12,"Northeast",2006,0.280040198712944
1,"Offshore",2007,0.259802560938322
2,"Georges Bank",2007,0.189299814757548
3,"Gulf of Maine",2007,0.227037991277993
4,"Mid-Atlantic Bight",2007,0.24352462071029
5,"Connecticut",2007,0.239508205197587
6,"Maine",2007,0.206345477383163
7,"Massachusetts-North",2007,0.220144302403498
8,"Massachusetts-South",2007,0.20561608215758
9,"New Hampshire",2007,0.270755253460133
10,"New York",2007,0.259156584461863
11,"Rhode Island",2007,0.270337111552033
12,"Northeast",2007,0.235158960116735
1,"Offshore",2008,0.340447024531405
2,"Georges Bank",2008,0.185331349585347
3,"Gulf of Maine",2008,0.248910732340312
4,"Mid-Atlantic Bight",2008,0.284348268107848
5,"Connecticut",2008,0.276843289256479
6,"Maine",2008,0.205505851464327
7,"Massachusetts-North",2008,0.243829231704204
8,"Massachusetts-South",2008,0.233782922580732
9,"New Hampshire",2008,0.26002800369405
10,"New York",2008,0.295576147942376
11,"Rhode Island",2008,0.307553850423211
12,"Northeast",2008,0.277433803911074
1,"Offshore",2009,0.387178846500448
2,"Georges Bank",2009,0.229072146363563
3,"Gulf of Maine",2009,0.28333131986965
4,"Mid-Atlantic Bight",2009,0.32320616809332
5,"Connecticut",2009,0.285075777071113
6,"Maine",2009,0.219850886867426
7,"Massachusetts-North",2009,0.276894457062144
8,"Massachusetts-South",2009,0.255573034434749
9,"New Hampshire",2009,0.270019655356581
10,"New York",2009,0.303022157581782
11,"Rhode Island",2009,0.322917290562056
12,"Northeast",2009,0.317568889791175
1,"Offshore",2010,0.387106512251617
2,"Georges Bank",2010,0.272124193795257
3,"Gulf of Maine",2010,0.369789685487683
4,"Mid-Atlantic Bight",2010,0.361632744639589
5,"Connecticut",2010,0.311549513494524
6,"Maine",2010,0.301246787040939
7,"Massachusetts-North",2010,0.356815209724853
8,"Massachusetts-South",2010,0.328002621206878
9,"New Hampshire",2010,0.330557499028575
10,"New York",2010,0.341401545036814
11,"Rhode Island",2010,0.353245063584794
12,"Northeast",2010,0.354388835739682
1,"Offshore",2011,0.388356481588113
2,"Georges Bank",2011,0.277873192328793
3,"Gulf of Maine",2011,0.360529200036398
4,"Mid-Atlantic Bight",2011,0.363881424201055
5,"Connecticut",2011,0.302337816472381
6,"Maine",2011,0.280218660989427
7,"Massachusetts-North",2011,0.38309624025221
8,"Massachusetts-South",2011,0.342359317968425
9,"New Hampshire",2011,0.343521772674546
10,"New York",2011,0.327907101139028
11,"Rhode Island",2011,0.331063973080187
12,"Northeast",2011,0.353833811631558
1,"Offshore",2012,0.47678532412016
2,"Georges Bank",2012,0.502050879283874
3,"Gulf of Maine",2012,0.599596237522335
4,"Mid-Atlantic Bight",2012,0.564948261010743
5,"Connecticut",2012,0.402447887009459
6,"Maine",2012,0.46611187849591
7,"Massachusetts-North",2012,0.527006611007277
8,"Massachusetts-South",2012,0.486528321506991
9,"New Hampshire",2012,0.494599746885511
10,"New York",2012,0.45222856449856
11,"Rhode Island",2012,0.437537741270772
12,"Northeast",2012,0.520665714964632
1,"Offshore",2013,0.433860248845021
2,"Georges Bank",2013,0.598319752696919
3,"Gulf of Maine",2013,0.717561395867153
4,"Mid-Atlantic Bight",2013,0.596934858392361
5,"Connecticut",2013,0.399240111279522
6,"Maine",2013,0.543422441699561
7,"Massachusetts-North",2013,0.572105017123126
8,"Massachusetts-South",2013,0.508566102697441
9,"New Hampshire",2013,0.537868392120084
10,"New York",2013,0.454754572608268
11,"Rhode Island",2013,0.44758760965374
12,"Northeast",2013,0.554748943437368
1,"Offshore",2014,0.472146179631144
2,"Georges Bank",2014,0.615880553246098
3,"Gulf of Maine",2014,0.78826791539275
4,"Mid-Atlantic Bight",2014,0.651744522921113
5,"Connecticut",2014,0.39829802039162
6,"Maine",2014,0.58267796281314
7,"Massachusetts-North",2014,0.572576787924988
8,"Massachusetts-South",2014,0.512871919363699
9,"New Hampshire",2014,0.543975453468019
10,"New York",2014,0.463260686269581
11,"Rhode Island",2014,0.461915727045271
12,"Northeast",2014,0.597215776447323
1,"Offshore",2015,0.559480890777458
2,"Georges Bank",2015,0.664767732077259
3,"Gulf of Maine",2015,0.813703441403794
4,"Mid-Atlantic Bight",2015,0.722946083989836
5,"Connecticut",2015,0.408847760581237
6,"Maine",2015,0.557325266104926
7,"Massachusetts-North",2015,0.574387014567667
8,"Massachusetts-South",2015,0.501500185605955
9,"New Hampshire",2015,0.549039819937074
10,"New York",2015,0.478686714352282
11,"Rhode Island",2015,0.487005884879201
12,"Northeast",2015,0.655144064481603
1,"Offshore",2016,0.573910586440394
2,"Georges Bank",2016,0.765953891995916
3,"Gulf of Maine",2016,0.969255215361539
4,"Mid-Atlantic Bight",2016,0.819998216505073
5,"Connecticut",2016,0.49890383927025
6,"Maine",2016,0.645159972290642
7,"Massachusetts-North",2016,0.658728555073057
8,"Massachusetts-South",2016,0.549862898527358
9,"New Hampshire",2016,0.631724692211392
10,"New York",2016,0.559140111091057
11,"Rhode Island",2016,0.558552888111628
12,"Northeast",2016,0.732882658012396
1,"Offshore",2017,0.497571785473341
2,"Georges Bank",2017,0.621802275835444
3,"Gulf of Maine",2017,0.830418543910919
4,"Mid-Atlantic Bight",2017,0.663497214906013
5,"Connecticut",2017,0.439297435328884
6,"Maine",2017,0.538030737501441
7,"Massachusetts-North",2017,0.554725219844296
8,"Massachusetts-South",2017,0.438799603996321
9,"New Hampshire",2017,0.513628191450674
10,"New York",2017,0.484200442013725
11,"Rhode Island",2017,0.489629549833158
12,"Northeast",2017,0.61735859085784
