rgn_id,score,year,habitat,rgn_name
4,0.3400992040407329,2012,seabed,Mid-Atlantic Bight
5,0.0837304047521699,2012,seabed,Connecticut
6,0.16619536158295062,2012,seabed,Maine
7,0.3507410656844375,2012,seabed,Massachusetts-North
8,0.3706169917735524,2012,seabed,Massachusetts-South
9,0.4446857246107229,2012,seabed,New Hampshire
10,0.32342139201851183,2012,seabed,New York
11,0.5798997824174579,2012,seabed,Rhode Island
1,0.024196263440513337,2013,seabed,Offshore
2,0.27665536056599854,2013,seabed,Georges Bank
3,0.31560506238547015,2013,seabed,Gulf of Maine
4,0.3460488339345943,2013,seabed,Mid-Atlantic Bight
5,0.07990821732086881,2013,seabed,Connecticut
6,0.14030105428431539,2013,seabed,Maine
7,0.3335023900968173,2013,seabed,Massachusetts-North
8,0.3643846804369756,2013,seabed,Massachusetts-South
9,0.4015648782919239,2013,seabed,New Hampshire
10,0.3164801985604606,2013,seabed,New York
11,0.5871994990398892,2013,seabed,Rhode Island
1,0.023995578528862364,2014,seabed,Offshore
2,0.2679747959762095,2014,seabed,Georges Bank
3,0.3111729173474453,2014,seabed,Gulf of Maine
4,0.3559068173474553,2014,seabed,Mid-Atlantic Bight
5,0.07564935199735774,2014,seabed,Connecticut
6,0.11512880857227939,2014,seabed,Maine
7,0.2941742533517473,2014,seabed,Massachusetts-North
8,0.3881503488015191,2014,seabed,Massachusetts-South
9,0.3364903311656174,2014,seabed,New Hampshire
10,0.3050547128651588,2014,seabed,New York
11,0.5798533992944401,2014,seabed,Rhode Island
1,0.023521421576237666,2015,seabed,Offshore
2,0.2635820336994502,2015,seabed,Georges Bank
3,0.32874163422330255,2015,seabed,Gulf of Maine
4,0.3521192419544246,2015,seabed,Mid-Atlantic Bight
5,0.0711993586389384,2015,seabed,Connecticut
6,0.09595578828520879,2015,seabed,Maine
7,0.2705162817459627,2015,seabed,Massachusetts-North
8,0.4067904692302753,2015,seabed,Massachusetts-South
9,0.2857094029974005,2015,seabed,New Hampshire
10,0.2859191584207056,2015,seabed,New York
11,0.5606577040108176,2015,seabed,Rhode Island
1,0.02351155833187926,2016,seabed,Offshore
2,0.2493931646718797,2016,seabed,Georges Bank
3,0.33609276874261146,2016,seabed,Gulf of Maine
4,0.34030635939776777,2016,seabed,Mid-Atlantic Bight
5,0.06888584446109099,2016,seabed,Connecticut
6,0.0840780320189134,2016,seabed,Maine
7,0.2586290753897627,2016,seabed,Massachusetts-North
8,0.3986365958867898,2016,seabed,Massachusetts-South
9,0.2548313294459322,2016,seabed,New Hampshire
10,0.27590689232793647,2016,seabed,New York
11,0.5527862131390489,2016,seabed,Rhode Island
1,0.02294659191155719,2017,seabed,Offshore
2,0.228260102517725,2017,seabed,Georges Bank
3,0.3453049325547606,2017,seabed,Gulf of Maine
4,0.3324640450595561,2017,seabed,Mid-Atlantic Bight
5,0.06575464125634932,2017,seabed,Connecticut
6,0.07998425346975677,2017,seabed,Maine
7,0.24218491594244154,2017,seabed,Massachusetts-North
8,0.3815815679805289,2017,seabed,Massachusetts-South
9,0.24273544662325075,2017,seabed,New Hampshire
10,0.26813152457026845,2017,seabed,New York
11,0.551271712347918,2017,seabed,Rhode Island
12,0.24430763295122432,2004,seabed,Northeast
12,0.24039622344290257,2005,seabed,Northeast
12,0.23855093709030786,2006,seabed,Northeast
12,0.23271640710130131,2007,seabed,Northeast
12,0.22143222354846406,2008,seabed,Northeast
12,0.2097612249060008,2009,seabed,Northeast
12,0.2020130891848521,2010,seabed,Northeast
12,0.1960421203615179,2011,seabed,Northeast
12,0.19939989745194558,2012,seabed,Northeast
12,0.19867555627248784,2013,seabed,Northeast
12,0.1964047163058711,2014,seabed,Northeast
12,0.1975762901650211,2015,seabed,Northeast
12,0.1940404010851451,2016,seabed,Northeast
12,0.19017738156773523,2017,seabed,Northeast
